scenario,apport,prix_total,duree_emprunt_ans,horizon_ans,revente_factor,loyer_mois,rendement_label,principal,mensualite_mois,mortgage_paid_total,capital_restant,encaisse_revente,encaisse_Y2,proceeds_at_H,cout_childcare_total,cashflow_immo_an,net_immo_only,net_avec_babs_soir,net_avec_babs_mixte,net_avec_babs_comp,cout_net_total,heures_semaine
SC1_au_pair,10000,100000,10,3,1.0,,,90000,882,31736,66040,20006,,,18600,-10579,,,,,40330,25
SC1_location,10000,100000,10,3,1.0,600,,90000,882,31736,66040,20006,,,,-8229,14680,53074,49720,40360,14680,
SC1_location,10000,100000,10,3,1.0,1000,,90000,882,31736,66040,20006,,,,-3429,280,38674,35320,25960,280,
SC1_au_pair,10000,100000,10,3,0.98,,,90000,882,31736,66040,18285,,,18600,-10579,,,,,42051,25
SC1_location,10000,100000,10,3,0.98,600,,90000,882,31736,66040,18285,,,,-8229,16401,54795,51441,42081,16401,
SC1_location,10000,100000,10,3,0.98,1000,,90000,882,31736,66040,18285,,,,-3429,2001,40395,37041,27681,2001,
SC1_au_pair,10000,100000,10,3,0.95,,,90000,882,31736,66040,15704,,,18600,-10579,,,,,44632,25
SC1_location,10000,100000,10,3,0.95,600,,90000,882,31736,66040,15704,,,,-8229,18982,57376,54022,44662,18982,
SC1_location,10000,100000,10,3,0.95,1000,,90000,882,31736,66040,15704,,,,-3429,4582,42976,39622,30262,4582,
SC1_au_pair,10000,100000,10,5,1.0,,,90000,882,52894,48699,37347,,,31000,-10579,,,,,56546,25
SC1_location,10000,100000,10,5,1.0,600,,90000,882,52894,48699,37347,,,,-8229,13796,77786,72196,56596,13796,
SC1_location,10000,100000,10,5,1.0,1000,,90000,882,52894,48699,37347,,,,-3429,-10204,53786,48196,32596,-10204,
SC1_au_pair,10000,100000,10,5,0.98,,,90000,882,52894,48699,35627,,,31000,-10579,,,,,58267,25
SC1_location,10000,100000,10,5,0.98,600,,90000,882,52894,48699,35627,,,,-8229,15517,79507,73917,58317,15517,
SC1_location,10000,100000,10,5,0.98,1000,,90000,882,52894,48699,35627,,,,-3429,-8483,55507,49917,34317,-8483,
SC1_au_pair,10000,100000,10,5,0.95,,,90000,882,52894,48699,33045,,,31000,-10579,,,,,60849,25
SC1_location,10000,100000,10,5,0.95,600,,90000,882,52894,48699,33045,,,,-8229,18099,82089,76499,60899,18099,
SC1_location,10000,100000,10,5,0.95,1000,,90000,882,52894,48699,33045,,,,-3429,-5901,58089,52499,36899,-5901,
SC1_au_pair,10000,100000,10,7,1.0,,,90000,882,74051,30177,55870,,,43400,-10579,,,,,71582,25
SC1_location,10000,100000,10,7,1.0,600,,90000,882,74051,30177,55870,,,,-8229,11732,101318,93492,71652,11732,
SC1_location,10000,100000,10,7,1.0,1000,,90000,882,74051,30177,55870,,,,-3429,-21868,67718,59892,38052,-21868,
SC1_au_pair,10000,100000,10,7,0.98,,,90000,882,74051,30177,54149,,,43400,-10579,,,,,73302,25
SC1_location,10000,100000,10,7,0.98,600,,90000,882,74051,30177,54149,,,,-8229,13452,103038,95212,73372,13452,
SC1_location,10000,100000,10,7,0.98,1000,,90000,882,74051,30177,54149,,,,-3429,-20148,69438,61612,39772,-20148,
SC1_au_pair,10000,100000,10,7,0.95,,,90000,882,74051,30177,51568,,,43400,-10579,,,,,75884,25
SC1_location,10000,100000,10,7,0.95,600,,90000,882,74051,30177,51568,,,,-8229,16034,105620,97794,75954,16034,
SC1_location,10000,100000,10,7,0.95,1000,,90000,882,74051,30177,51568,,,,-3429,-17566,72020,64194,42354,-17566,
SC1_au_pair,10000,100000,15,3,1.0,,,90000,635,22845,75373,10674,,,18600,-7615,,,,,40771,25
SC1_location,10000,100000,15,3,1.0,600,,90000,635,22845,75373,10674,,,,-5265,15121,53515,50161,40801,15121,
SC1_location,10000,100000,15,3,1.0,1000,,90000,635,22845,75373,10674,,,,-465,721,39115,35761,26401,721,
SC1_au_pair,10000,100000,15,3,0.98,,,90000,635,22845,75373,8953,,,18600,-7615,,,,,42492,25
SC1_location,10000,100000,15,3,0.98,600,,90000,635,22845,75373,8953,,,,-5265,16842,55236,51882,42522,16842,
SC1_location,10000,100000,15,3,0.98,1000,,90000,635,22845,75373,8953,,,,-465,2442,40836,37482,28122,2442,
SC1_au_pair,10000,100000,15,3,0.95,,,90000,635,22845,75373,6371,,,18600,-7615,,,,,45074,25
SC1_location,10000,100000,15,3,0.95,600,,90000,635,22845,75373,6371,,,,-5265,19424,57818,54464,45104,19424,
SC1_location,10000,100000,15,3,0.95,1000,,90000,635,22845,75373,6371,,,,-465,5024,43418,40064,30704,5024,
SC1_au_pair,10000,100000,15,5,1.0,,,90000,635,38075,64786,21260,,,31000,-7615,,,,,57815,25
SC1_location,10000,100000,15,5,1.0,600,,90000,635,38075,64786,21260,,,,-5265,15065,79055,73465,57865,15065,
SC1_location,10000,100000,15,5,1.0,1000,,90000,635,38075,64786,21260,,,,-465,-8935,55055,49465,33865,-8935,
SC1_au_pair,10000,100000,15,5,0.98,,,90000,635,38075,64786,19539,,,31000,-7615,,,,,59536,25
SC1_location,10000,100000,15,5,0.98,600,,90000,635,38075,64786,19539,,,,-5265,16786,80776,75186,59586,16786,
SC1_location,10000,100000,15,5,0.98,1000,,90000,635,38075,64786,19539,,,,-465,-7214,56776,51186,35586,-7214,
SC1_au_pair,10000,100000,15,5,0.95,,,90000,635,38075,64786,16958,,,31000,-7615,,,,,62117,25
SC1_location,10000,100000,15,5,0.95,600,,90000,635,38075,64786,16958,,,,-5265,19367,83357,77767,62167,19367,
SC1_location,10000,100000,15,5,0.95,1000,,90000,635,38075,64786,16958,,,,-465,-4633,59357,53767,38167,-4633,
SC1_au_pair,10000,100000,15,7,1.0,,,90000,635,53306,53478,32568,,,43400,-7615,,,,,74137,25
SC1_location,10000,100000,15,7,1.0,600,,90000,635,53306,53478,32568,,,,-5265,14287,103873,96047,74207,14287,
SC1_location,10000,100000,15,7,1.0,1000,,90000,635,53306,53478,32568,,,,-465,-19313,70273,62447,40607,-19313,
SC1_au_pair,10000,100000,15,7,0.98,,,90000,635,53306,53478,30847,,,43400,-7615,,,,,75858,25
SC1_location,10000,100000,15,7,0.98,600,,90000,635,53306,53478,30847,,,,-5265,16008,105594,97768,75928,16008,
SC1_location,10000,100000,15,7,0.98,1000,,90000,635,53306,53478,30847,,,,-465,-17592,71994,64168,42328,-17592,
SC1_au_pair,10000,100000,15,7,0.95,,,90000,635,53306,53478,28266,,,43400,-7615,,,,,78440,25
SC1_location,10000,100000,15,7,0.95,600,,90000,635,53306,53478,28266,,,,-5265,18590,108176,100350,78510,18590,
SC1_location,10000,100000,15,7,0.95,1000,,90000,635,53306,53478,28266,,,,-465,-15010,74576,66750,44910,-15010,
SC1_au_pair,10000,100000,20,3,1.0,,,90000,513,18459,79976,6070,,,18600,-6153,,,,,40989,25
SC1_location,10000,100000,20,3,1.0,600,,90000,513,18459,79976,6070,,,,-3803,15339,53733,50379,41019,15339,
SC1_location,10000,100000,20,3,1.0,1000,,90000,513,18459,79976,6070,,,,997,939,39333,35979,26619,939,
SC1_au_pair,10000,100000,20,3,0.98,,,90000,513,18459,79976,4349,,,18600,-6153,,,,,42710,25
SC1_location,10000,100000,20,3,0.98,600,,90000,513,18459,79976,4349,,,,-3803,17060,55454,52100,42740,17060,
SC1_location,10000,100000,20,3,0.98,1000,,90000,513,18459,79976,4349,,,,997,2660,41054,37700,28340,2660,
SC1_au_pair,10000,100000,20,3,0.95,,,90000,513,18459,79976,1768,,,18600,-6153,,,,,45292,25
SC1_location,10000,100000,20,3,0.95,600,,90000,513,18459,79976,1768,,,,-3803,19642,58036,54682,45322,19642,
SC1_location,10000,100000,20,3,0.95,1000,,90000,513,18459,79976,1768,,,,997,5242,43636,40282,30922,5242,
SC1_au_pair,10000,100000,20,5,1.0,,,90000,513,30766,72722,13325,,,31000,-6153,,,,,58441,25
SC1_location,10000,100000,20,5,1.0,600,,90000,513,30766,72722,13325,,,,-3803,15691,79681,74091,58491,15691,
SC1_location,10000,100000,20,5,1.0,1000,,90000,513,30766,72722,13325,,,,997,-8309,55681,50091,34491,-8309,
SC1_au_pair,10000,100000,20,5,0.98,,,90000,513,30766,72722,11604,,,31000,-6153,,,,,60162,25
SC1_location,10000,100000,20,5,0.98,600,,90000,513,30766,72722,11604,,,,-3803,17412,81402,75812,60212,17412,
SC1_location,10000,100000,20,5,0.98,1000,,90000,513,30766,72722,11604,,,,997,-6588,57402,51812,36212,-6588,
SC1_au_pair,10000,100000,20,5,0.95,,,90000,513,30766,72722,9022,,,31000,-6153,,,,,62743,25
SC1_location,10000,100000,20,5,0.95,600,,90000,513,30766,72722,9022,,,,-3803,19993,83983,78393,62793,19993,
SC1_location,10000,100000,20,5,0.95,1000,,90000,513,30766,72722,9022,,,,997,-4007,59983,54393,38793,-4007,
SC1_au_pair,10000,100000,20,7,1.0,,,90000,513,43072,64973,21074,,,43400,-6153,,,,,75398,25
SC1_location,10000,100000,20,7,1.0,600,,90000,513,43072,64973,21074,,,,-3803,15548,105134,97308,75468,15548,
SC1_location,10000,100000,20,7,1.0,1000,,90000,513,43072,64973,21074,,,,997,-18052,71534,63708,41868,-18052,
SC1_au_pair,10000,100000,20,7,0.98,,,90000,513,43072,64973,19353,,,43400,-6153,,,,,77119,25
SC1_location,10000,100000,20,7,0.98,600,,90000,513,43072,64973,19353,,,,-3803,17269,106855,99029,77189,17269,
SC1_location,10000,100000,20,7,0.98,1000,,90000,513,43072,64973,19353,,,,997,-16331,73255,65429,43589,-16331,
SC1_au_pair,10000,100000,20,7,0.95,,,90000,513,43072,64973,16771,,,43400,-6153,,,,,79701,25
SC1_location,10000,100000,20,7,0.95,600,,90000,513,43072,64973,16771,,,,-3803,19851,109437,101611,79771,19851,
SC1_location,10000,100000,20,7,0.95,1000,,90000,513,43072,64973,16771,,,,997,-13749,75837,68011,46171,-13749,
SC1_au_pair,10000,100000,25,3,1.0,,,90000,441,15875,82689,3357,,,18600,-5292,,,,,41118,25
SC1_location,10000,100000,25,3,1.0,600,,90000,441,15875,82689,3357,,,,-2942,15468,53862,50508,41148,15468,
SC1_location,10000,100000,25,3,1.0,1000,,90000,441,15875,82689,3357,,,,1858,1068,39462,36108,26748,1068,
SC1_au_pair,10000,100000,25,3,0.98,,,90000,441,15875,82689,1636,,,18600,-5292,,,,,42839,25
SC1_location,10000,100000,25,3,0.98,600,,90000,441,15875,82689,1636,,,,-2942,17189,55583,52229,42869,17189,
SC1_location,10000,100000,25,3,0.98,1000,,90000,441,15875,82689,1636,,,,1858,2789,41183,37829,28469,2789,
SC1_au_pair,10000,100000,25,3,0.95,,,90000,441,15875,82689,-945,,,18600,-5292,,,,,45420,25
SC1_location,10000,100000,25,3,0.95,600,,90000,441,15875,82689,-945,,,,-2942,19770,58164,54810,45450,19770,
SC1_location,10000,100000,25,3,0.95,1000,,90000,441,15875,82689,-945,,,,1858,5370,43764,40410,31050,5370,
SC1_au_pair,10000,100000,25,5,1.0,,,90000,441,26458,77398,8648,,,31000,-5292,,,,,58810,25
SC1_location,10000,100000,25,5,1.0,600,,90000,441,26458,77398,8648,,,,-2942,16060,80050,74460,58860,16060,
SC1_location,10000,100000,25,5,1.0,1000,,90000,441,26458,77398,8648,,,,1858,-7940,56050,50460,34860,-7940,
SC1_au_pair,10000,100000,25,5,0.98,,,90000,441,26458,77398,6927,,,31000,-5292,,,,,60531,25
SC1_location,10000,100000,25,5,0.98,600,,90000,441,26458,77398,6927,,,,-2942,17781,81771,76181,60581,17781,
SC1_location,10000,100000,25,5,0.98,1000,,90000,441,26458,77398,6927,,,,1858,-6219,57771,52181,36581,-6219,
SC1_au_pair,10000,100000,25,5,0.95,,,90000,441,26458,77398,4346,,,31000,-5292,,,,,63112,25
SC1_location,10000,100000,25,5,0.95,600,,90000,441,26458,77398,4346,,,,-2942,20362,84352,78762,63162,20362,
SC1_location,10000,100000,25,5,0.95,1000,,90000,441,26458,77398,4346,,,,1858,-3638,60352,54762,39162,-3638,
SC1_au_pair,10000,100000,25,7,1.0,,,90000,441,37041,71747,14300,,,43400,-5292,,,,,76141,25
SC1_location,10000,100000,25,7,1.0,600,,90000,441,37041,71747,14300,,,,-2942,16291,105877,98051,76211,16291,
SC1_location,10000,100000,25,7,1.0,1000,,90000,441,37041,71747,14300,,,,1858,-17309,72277,64451,42611,-17309,
SC1_au_pair,10000,100000,25,7,0.98,,,90000,441,37041,71747,12579,,,43400,-5292,,,,,77862,25
SC1_location,10000,100000,25,7,0.98,600,,90000,441,37041,71747,12579,,,,-2942,18012,107598,99772,77932,18012,
SC1_location,10000,100000,25,7,0.98,1000,,90000,441,37041,71747,12579,,,,1858,-15588,73998,66172,44332,-15588,
SC1_au_pair,10000,100000,25,7,0.95,,,90000,441,37041,71747,9997,,,43400,-5292,,,,,80444,25
SC1_location,10000,100000,25,7,0.95,600,,90000,441,37041,71747,9997,,,,-2942,20594,110180,102354,80514,20594,
SC1_location,10000,100000,25,7,0.95,1000,,90000,441,37041,71747,9997,,,,1858,-13006,76580,68754,46914,-13006,
SC1_au_pair,10000,110000,10,3,1.0,,,100000,980,35263,73378,21273,,,18600,-11754,,,,,42589,25
SC1_location,10000,110000,10,3,1.0,600,,100000,980,35263,73378,21273,,,,-9404,16939,55333,51979,42619,16939,
SC1_location,10000,110000,10,3,1.0,1000,,100000,980,35263,73378,21273,,,,-4604,2539,40933,37579,28219,2539,
SC1_au_pair,10000,110000,10,3,0.98,,,100000,980,35263,73378,19380,,,18600,-11754,,,,,44482,25
SC1_location,10000,110000,10,3,0.98,600,,100000,980,35263,73378,19380,,,,-9404,18832,57226,53872,44512,18832,
SC1_location,10000,110000,10,3,0.98,1000,,100000,980,35263,73378,19380,,,,-4604,4432,42826,39472,30112,4432,
SC1_au_pair,10000,110000,10,3,0.95,,,100000,980,35263,73378,16541,,,18600,-11754,,,,,47322,25
SC1_location,10000,110000,10,3,0.95,600,,100000,980,35263,73378,16541,,,,-9404,21672,60066,56712,47352,21672,
SC1_location,10000,110000,10,3,0.95,1000,,100000,980,35263,73378,16541,,,,-4604,7272,45666,42312,32952,7272,
SC1_au_pair,10000,110000,10,5,1.0,,,100000,980,58771,54110,40541,,,31000,-11754,,,,,59230,25
SC1_location,10000,110000,10,5,1.0,600,,100000,980,58771,54110,40541,,,,-9404,16480,80470,74880,59280,16480,
SC1_location,10000,110000,10,5,1.0,1000,,100000,980,58771,54110,40541,,,,-4604,-7520,56470,50880,35280,-7520,
SC1_au_pair,10000,110000,10,5,0.98,,,100000,980,58771,54110,38648,,,31000,-11754,,,,,61123,25
SC1_location,10000,110000,10,5,0.98,600,,100000,980,58771,54110,38648,,,,-9404,18373,82363,76773,61173,18373,
SC1_location,10000,110000,10,5,0.98,1000,,100000,980,58771,54110,38648,,,,-4604,-5627,58363,52773,37173,-5627,
SC1_au_pair,10000,110000,10,5,0.95,,,100000,980,58771,54110,35809,,,31000,-11754,,,,,63962,25
SC1_location,10000,110000,10,5,0.95,600,,100000,980,58771,54110,35809,,,,-9404,21212,85202,79612,64012,21212,
SC1_location,10000,110000,10,5,0.95,1000,,100000,980,58771,54110,35809,,,,-4604,-2788,61202,55612,40012,-2788,
SC1_au_pair,10000,110000,10,7,1.0,,,100000,980,82279,33529,61122,,,43400,-11754,,,,,74558,25
SC1_location,10000,110000,10,7,1.0,600,,100000,980,82279,33529,61122,,,,-9404,14708,104294,96468,74628,14708,
SC1_location,10000,110000,10,7,1.0,1000,,100000,980,82279,33529,61122,,,,-4604,-18892,70694,62868,41028,-18892,
SC1_au_pair,10000,110000,10,7,0.98,,,100000,980,82279,33529,59229,,,43400,-11754,,,,,76451,25
SC1_location,10000,110000,10,7,0.98,600,,100000,980,82279,33529,59229,,,,-9404,16601,106187,98361,76521,16601,
SC1_location,10000,110000,10,7,0.98,1000,,100000,980,82279,33529,59229,,,,-4604,-16999,72587,64761,42921,-16999,
SC1_au_pair,10000,110000,10,7,0.95,,,100000,980,82279,33529,56389,,,43400,-11754,,,,,79290,25
SC1_location,10000,110000,10,7,0.95,600,,100000,980,82279,33529,56389,,,,-9404,19440,109026,101200,79360,19440,
SC1_location,10000,110000,10,7,0.95,1000,,100000,980,82279,33529,56389,,,,-4604,-14160,75426,67600,45760,-14160,
SC1_au_pair,10000,110000,15,3,1.0,,,100000,705,25384,83747,10904,,,18600,-8461,,,,,43080,25
SC1_location,10000,110000,15,3,1.0,600,,100000,705,25384,83747,10904,,,,-6111,17430,55824,52470,43110,17430,
SC1_location,10000,110000,15,3,1.0,1000,,100000,705,25384,83747,10904,,,,-1311,3030,41424,38070,28710,3030,
SC1_au_pair,10000,110000,15,3,0.98,,,100000,705,25384,83747,9011,,,18600,-8461,,,,,44973,25
SC1_location,10000,110000,15,3,0.98,600,,100000,705,25384,83747,9011,,,,-6111,19323,57717,54363,45003,19323,
SC1_location,10000,110000,15,3,0.98,1000,,100000,705,25384,83747,9011,,,,-1311,4923,43317,39963,30603,4923,
SC1_au_pair,10000,110000,15,3,0.95,,,100000,705,25384,83747,6171,,,18600,-8461,,,,,47812,25
SC1_location,10000,110000,15,3,0.95,600,,100000,705,25384,83747,6171,,,,-6111,22162,60556,57202,47842,22162,
SC1_location,10000,110000,15,3,0.95,1000,,100000,705,25384,83747,6171,,,,-1311,7762,46156,42802,33442,7762,
SC1_au_pair,10000,110000,15,5,1.0,,,100000,705,42306,71985,22667,,,31000,-8461,,,,,60640,25
SC1_location,10000,110000,15,5,1.0,600,,100000,705,42306,71985,22667,,,,-6111,17890,81880,76290,60690,17890,
SC1_location,10000,110000,15,5,1.0,1000,,100000,705,42306,71985,22667,,,,-1311,-6110,57880,52290,36690,-6110,
SC1_au_pair,10000,110000,15,5,0.98,,,100000,705,42306,71985,20774,,,31000,-8461,,,,,62533,25
SC1_location,10000,110000,15,5,0.98,600,,100000,705,42306,71985,20774,,,,-6111,19783,83773,78183,62583,19783,
SC1_location,10000,110000,15,5,0.98,1000,,100000,705,42306,71985,20774,,,,-1311,-4217,59773,54183,38583,-4217,
SC1_au_pair,10000,110000,15,5,0.95,,,100000,705,42306,71985,17934,,,31000,-8461,,,,,65372,25
SC1_location,10000,110000,15,5,0.95,600,,100000,705,42306,71985,17934,,,,-6111,22622,86612,81022,65422,22622,
SC1_location,10000,110000,15,5,0.95,1000,,100000,705,42306,71985,17934,,,,-1311,-1378,62612,57022,41422,-1378,
SC1_au_pair,10000,110000,15,7,1.0,,,100000,705,59229,59420,35231,,,43400,-8461,,,,,77398,25
SC1_location,10000,110000,15,7,1.0,600,,100000,705,59229,59420,35231,,,,-6111,17548,107134,99308,77468,17548,
SC1_location,10000,110000,15,7,1.0,1000,,100000,705,59229,59420,35231,,,,-1311,-16052,73534,65708,43868,-16052,
SC1_au_pair,10000,110000,15,7,0.98,,,100000,705,59229,59420,33338,,,43400,-8461,,,,,79291,25
SC1_location,10000,110000,15,7,0.98,600,,100000,705,59229,59420,33338,,,,-6111,19441,109027,101201,79361,19441,
SC1_location,10000,110000,15,7,0.98,1000,,100000,705,59229,59420,33338,,,,-1311,-14159,75427,67601,45761,-14159,
SC1_au_pair,10000,110000,15,7,0.95,,,100000,705,59229,59420,30498,,,43400,-8461,,,,,82130,25
SC1_location,10000,110000,15,7,0.95,600,,100000,705,59229,59420,30498,,,,-6111,22280,111866,104040,82200,22280,
SC1_location,10000,110000,15,7,0.95,1000,,100000,705,59229,59420,30498,,,,-1311,-11320,78266,70440,48600,-11320,
SC1_au_pair,10000,110000,20,3,1.0,,,100000,570,20510,88863,5789,,,18600,-6837,,,,,43322,25
SC1_location,10000,110000,20,3,1.0,600,,100000,570,20510,88863,5789,,,,-4487,17672,56066,52712,43352,17672,
SC1_location,10000,110000,20,3,1.0,1000,,100000,570,20510,88863,5789,,,,313,3272,41666,38312,28952,3272,
SC1_au_pair,10000,110000,20,3,0.98,,,100000,570,20510,88863,3896,,,18600,-6837,,,,,45215,25
SC1_location,10000,110000,20,3,0.98,600,,100000,570,20510,88863,3896,,,,-4487,19565,57959,54605,45245,19565,
SC1_location,10000,110000,20,3,0.98,1000,,100000,570,20510,88863,3896,,,,313,5165,43559,40205,30845,5165,
SC1_au_pair,10000,110000,20,3,0.95,,,100000,570,20510,88863,1056,,,18600,-6837,,,,,48054,25
SC1_location,10000,110000,20,3,0.95,600,,100000,570,20510,88863,1056,,,,-4487,22404,60798,57444,48084,22404,
SC1_location,10000,110000,20,3,0.95,1000,,100000,570,20510,88863,1056,,,,313,8004,46398,43044,33684,8004,
SC1_au_pair,10000,110000,20,5,1.0,,,100000,570,34184,80802,13849,,,31000,-6837,,,,,61335,25
SC1_location,10000,110000,20,5,1.0,600,,100000,570,34184,80802,13849,,,,-4487,18585,82575,76985,61385,18585,
SC1_location,10000,110000,20,5,1.0,1000,,100000,570,34184,80802,13849,,,,313,-5415,58575,52985,37385,-5415,
SC1_au_pair,10000,110000,20,5,0.98,,,100000,570,34184,80802,11956,,,31000,-6837,,,,,63228,25
SC1_location,10000,110000,20,5,0.98,600,,100000,570,34184,80802,11956,,,,-4487,20478,84468,78878,63278,20478,
SC1_location,10000,110000,20,5,0.98,1000,,100000,570,34184,80802,11956,,,,313,-3522,60468,54878,39278,-3522,
SC1_au_pair,10000,110000,20,5,0.95,,,100000,570,34184,80802,9117,,,31000,-6837,,,,,66067,25
SC1_location,10000,110000,20,5,0.95,600,,100000,570,34184,80802,9117,,,,-4487,23317,87307,81717,66117,23317,
SC1_location,10000,110000,20,5,0.95,1000,,100000,570,34184,80802,9117,,,,313,-683,63307,57717,42117,-683,
SC1_au_pair,10000,110000,20,7,1.0,,,100000,570,47858,72192,22459,,,43400,-6837,,,,,78799,25
SC1_location,10000,110000,20,7,1.0,600,,100000,570,47858,72192,22459,,,,-4487,18949,108535,100709,78869,18949,
SC1_location,10000,110000,20,7,1.0,1000,,100000,570,47858,72192,22459,,,,313,-14651,74935,67109,45269,-14651,
SC1_au_pair,10000,110000,20,7,0.98,,,100000,570,47858,72192,20566,,,43400,-6837,,,,,80692,25
SC1_location,10000,110000,20,7,0.98,600,,100000,570,47858,72192,20566,,,,-4487,20842,110428,102602,80762,20842,
SC1_location,10000,110000,20,7,0.98,1000,,100000,570,47858,72192,20566,,,,313,-12758,76828,69002,47162,-12758,
SC1_au_pair,10000,110000,20,7,0.95,,,100000,570,47858,72192,17727,,,43400,-6837,,,,,83531,25
SC1_location,10000,110000,20,7,0.95,600,,100000,570,47858,72192,17727,,,,-4487,23681,113267,105441,83601,23681,
SC1_location,10000,110000,20,7,0.95,1000,,100000,570,47858,72192,17727,,,,313,-9919,79667,71841,50001,-9919,
SC1_au_pair,10000,110000,25,3,1.0,,,100000,490,17639,91877,2774,,,18600,-5880,,,,,43465,25
SC1_location,10000,110000,25,3,1.0,600,,100000,490,17639,91877,2774,,,,-3530,17815,56209,52855,43495,17815,
SC1_location,10000,110000,25,3,1.0,1000,,100000,490,17639,91877,2774,,,,1270,3415,41809,38455,29095,3415,
SC1_au_pair,10000,110000,25,3,0.98,,,100000,490,17639,91877,881,,,18600,-5880,,,,,45358,25
SC1_location,10000,110000,25,3,0.98,600,,100000,490,17639,91877,881,,,,-3530,19708,58102,54748,45388,19708,
SC1_location,10000,110000,25,3,0.98,1000,,100000,490,17639,91877,881,,,,1270,5308,43702,40348,30988,5308,
SC1_au_pair,10000,110000,25,3,0.95,,,100000,490,17639,91877,-1958,,,18600,-5880,,,,,48197,25
SC1_location,10000,110000,25,3,0.95,600,,100000,490,17639,91877,-1958,,,,-3530,22547,60941,57587,48227,22547,
SC1_location,10000,110000,25,3,0.95,1000,,100000,490,17639,91877,-1958,,,,1270,8147,46541,43187,33827,8147,
SC1_au_pair,10000,110000,25,5,1.0,,,100000,490,29398,85998,8653,,,31000,-5880,,,,,61745,25
SC1_location,10000,110000,25,5,1.0,600,,100000,490,29398,85998,8653,,,,-3530,18995,82985,77395,61795,18995,
SC1_location,10000,110000,25,5,1.0,1000,,100000,490,29398,85998,8653,,,,1270,-5005,58985,53395,37795,-5005,
SC1_au_pair,10000,110000,25,5,0.98,,,100000,490,29398,85998,6760,,,31000,-5880,,,,,63638,25
SC1_location,10000,110000,25,5,0.98,600,,100000,490,29398,85998,6760,,,,-3530,20888,84878,79288,63688,20888,
SC1_location,10000,110000,25,5,0.98,1000,,100000,490,29398,85998,6760,,,,1270,-3112,60878,55288,39688,-3112,
SC1_au_pair,10000,110000,25,5,0.95,,,100000,490,29398,85998,3921,,,31000,-5880,,,,,66477,25
SC1_location,10000,110000,25,5,0.95,600,,100000,490,29398,85998,3921,,,,-3530,23727,87717,82127,66527,23727,
SC1_location,10000,110000,25,5,0.95,1000,,100000,490,29398,85998,3921,,,,1270,-273,63717,58127,42527,-273,
SC1_au_pair,10000,110000,25,7,1.0,,,100000,490,41157,79719,14933,,,43400,-5880,,,,,79624,25
SC1_location,10000,110000,25,7,1.0,600,,100000,490,41157,79719,14933,,,,-3530,19774,109360,101534,79694,19774,
SC1_location,10000,110000,25,7,1.0,1000,,100000,490,41157,79719,14933,,,,1270,-13826,75760,67934,46094,-13826,
SC1_au_pair,10000,110000,25,7,0.98,,,100000,490,41157,79719,13040,,,43400,-5880,,,,,81517,25
SC1_location,10000,110000,25,7,0.98,600,,100000,490,41157,79719,13040,,,,-3530,21667,111253,103427,81587,21667,
SC1_location,10000,110000,25,7,0.98,1000,,100000,490,41157,79719,13040,,,,1270,-11933,77653,69827,47987,-11933,
SC1_au_pair,10000,110000,25,7,0.95,,,100000,490,41157,79719,10200,,,43400,-5880,,,,,84357,25
SC1_location,10000,110000,25,7,0.95,600,,100000,490,41157,79719,10200,,,,-3530,24507,114093,106267,84427,24507,
SC1_location,10000,110000,25,7,0.95,1000,,100000,490,41157,79719,10200,,,,1270,-9093,80493,72667,50827,-9093,
SC1_au_pair,10000,120000,10,3,1.0,,,110000,1077,38789,80716,22540,,,18600,-12930,,,,,44849,25
SC1_location,10000,120000,10,3,1.0,600,,110000,1077,38789,80716,22540,,,,-10580,19199,57593,54239,44879,19199,
SC1_location,10000,120000,10,3,1.0,1000,,110000,1077,38789,80716,22540,,,,-5780,4799,43193,39839,30479,4799,
SC1_au_pair,10000,120000,10,3,0.98,,,110000,1077,38789,80716,20475,,,18600,-12930,,,,,46914,25
SC1_location,10000,120000,10,3,0.98,600,,110000,1077,38789,80716,20475,,,,-10580,21264,59658,56304,46944,21264,
SC1_location,10000,120000,10,3,0.98,1000,,110000,1077,38789,80716,20475,,,,-5780,6864,45258,41904,32544,6864,
SC1_au_pair,10000,120000,10,3,0.95,,,110000,1077,38789,80716,17377,,,18600,-12930,,,,,50012,25
SC1_location,10000,120000,10,3,0.95,600,,110000,1077,38789,80716,17377,,,,-10580,24362,62756,59402,50042,24362,
SC1_location,10000,120000,10,3,0.95,1000,,110000,1077,38789,80716,17377,,,,-5780,9962,48356,45002,35642,9962,
SC1_au_pair,10000,120000,10,5,1.0,,,110000,1077,64648,59521,43735,,,31000,-12930,,,,,61913,25
SC1_location,10000,120000,10,5,1.0,600,,110000,1077,64648,59521,43735,,,,-10580,19163,83153,77563,61963,19163,
SC1_location,10000,120000,10,5,1.0,1000,,110000,1077,64648,59521,43735,,,,-5780,-4837,59153,53563,37963,-4837,
SC1_au_pair,10000,120000,10,5,0.98,,,110000,1077,64648,59521,41670,,,31000,-12930,,,,,63978,25
SC1_location,10000,120000,10,5,0.98,600,,110000,1077,64648,59521,41670,,,,-10580,21228,85218,79628,64028,21228,
SC1_location,10000,120000,10,5,0.98,1000,,110000,1077,64648,59521,41670,,,,-5780,-2772,61218,55628,40028,-2772,
SC1_au_pair,10000,120000,10,5,0.95,,,110000,1077,64648,59521,38572,,,31000,-12930,,,,,67076,25
